tree,nDiv,deathProb,rho,nCells,treeLength,treeHeight,birthRate,deathRate
tree_ss_1,13,0,0.01,82,1794.28571428572,37.1428571428571,0.225272833681982,0
tree_ss_2,13,0,0.01,81,1828.57142857143,37.1428571428571,0.225272833681982,0
tree_ss_3,13,0,0.01,82,1800,37.1428571428571,0.225272833681982,0
tree_ss_4,13,0,0.01,82,1820,37.1428571428571,0.225272833681982,0
tree_ss_5,13,0,0.01,82,1860,37.1428571428571,0.225272833681982,0
tree_ss_6,13,0,0.01,82,1765.71428571429,37.1428571428571,0.225272833681982,0
tree_ss_7,13,0,0.01,82,1771.42857142857,37.1428571428571,0.225272833681982,0
tree_ss_8,13,0,0.01,82,1860,37.1428571428571,0.225272833681982,0
tree_ss_9,13,0,0.01,82,1825.71428571429,37.1428571428571,0.225272833681982,0
tree_ss_10,13,0,0.01,82,1882.85714285714,37.1428571428571,0.225272833681982,0
tree_ss_11,13,0,0.01,82,1854.28571428572,37.1428571428571,0.225272833681982,0
tree_ss_12,13,0,0.01,82,1788.57142857143,37.1428571428571,0.225272833681982,0
tree_ss_13,13,0,0.01,82,1794.28571428572,37.1428571428571,0.225272833681982,0
tree_ss_14,13,0,0.01,81,1777.14285714286,37.1428571428571,0.225272833681982,0
tree_ss_15,13,0,0.01,82,1768.57142857143,37.1428571428571,0.225272833681982,0
tree_ss_16,13,0,0.01,82,1837.14285714286,37.1428571428571,0.225272833681982,0
tree_ss_17,13,0,0.01,82,1800,37.1428571428571,0.225272833681982,0
tree_ss_18,13,0,0.01,82,1817.14285714286,37.1428571428571,0.225272833681982,0
tree_ss_19,13,0,0.01,82,1780,37.1428571428571,0.225272833681982,0
tree_ss_20,13,0,0.01,82,1788.57142857143,37.1428571428571,0.225272833681982,0
tree_sds_1,16,0.12,0.01,116,2491.76470588235,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_2,16,0.12,0.01,110,2414.11764705882,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_3,16,0.12,0.01,92,2002.35294117647,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_4,16,0.12,0.01,114,2534.11764705882,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_5,16,0.12,0.01,80,1743.5294117647,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_6,16,0.12,0.01,67,1418.82352941176,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_7,16,0.12,0.01,88,1880,35.2941176470588,0.243987807557101,0.0332710646668774
tree_sds_8,16,0.12,0.01,110,2456.47058823529,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_9,16,0.12,0.01,64,1395.29411764706,35.2941176470588,0.243987807557101,0.0332710646668774
tree_sds_10,16,0.12,0.01,80,1814.11764705882,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_11,16,0.12,0.01,123,2696.47058823529,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_12,16,0.12,0.01,93,2080,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_13,16,0.12,0.01,100,2195.29411764706,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_14,16,0.12,0.01,49,1087.05882352941,35.2941176470588,0.243987807557101,0.0332710646668774
tree_sds_15,16,0.12,0.01,76,1616.47058823529,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_16,16,0.12,0.01,132,2887.05882352941,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_17,16,0.12,0.01,103,2298.82352941176,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_18,16,0.12,0.01,104,2164.70588235294,37.6470588235294,0.243987807557101,0.0332710646668774
