seed,ntips,treeHeight,treeLength
1,117,37.02723058973348,1829.016382632098
2,174,39.48626197499356,2842.0170413822457
5,98,31.658413679567893,1423.5356760064299
6,32,32.97422375953781,460.5578917933353
7,76,39.57707796938323,1145.063383649783
9,96,33.34958383772407,1575.2639367941665
11,177,39.098826060377334,2636.828214567245
13,144,38.21194636230842,2242.453675816164
16,43,30.383251044859186,603.0216677604054
19,75,36.69170374779958,1128.6782458071498
21,35,35.96948980841809,590.1780628316782
23,35,31.62882683055095,545.9644221129379
24,49,34.54867918651054,780.8595922111984
27,57,38.92335545860148,940.7517561241983
31,108,39.353858892871266,1662.1679702635854
32,174,39.79148594070198,2697.51236681311
33,81,34.525812329563365,1215.8433542319553
34,118,31.065258109025358,1678.0082763591365
35,193,37.76244998129558,2783.778052138838
36,143,36.05477213138982,2111.3549947129686
